social_platform_preference,platform_id
Telegram,336
Telegram,337
TikTok,338
TikTok,339
Instagram,340
Telegram,341
Instagram,342
Telegram,343
Twitter,344
Instagram,345
Instagram,346
Twitter,347
Telegram,348
TikTok,349
TikTok,350
TikTok,351
Instagram,352
Telegram,353
Telegram,354
Twitter,355
Instagram,356
Instagram,357
TikTok,358
Instagram,359
Facebook,360
Instagram,361
Facebook,362
Facebook,363
Facebook,364
Telegram,365
Instagram,366
Facebook,367
Instagram,368
Facebook,369
Instagram,370
Instagram,371
TikTok,372
TikTok,373
TikTok,374
Twitter,375
Facebook,376
TikTok,377
Instagram,378
Facebook,379
TikTok,380
Instagram,381
Facebook,382
TikTok,383
Twitter,384
Instagram,385
Twitter,386
TikTok,387
Facebook,388
Facebook,389
Telegram,390
Twitter,391
Telegram,392
Twitter,393
Twitter,394
Twitter,395
Facebook,396
Twitter,397
Facebook,398
Telegram,399
Facebook,400
Telegram,401
Instagram,402
Instagram,403
Telegram,404
Telegram,405
Telegram,406
Instagram,407
Facebook,408
TikTok,409
Instagram,410
TikTok,411
Instagram,412
Telegram,413
Instagram,414
TikTok,415
Facebook,416
Instagram,417
Facebook,418
TikTok,419
Telegram,420
TikTok,421
Instagram,422
Telegram,423
Instagram,424
TikTok,425
Telegram,426
Instagram,427
Facebook,428
TikTok,429
TikTok,430
Facebook,431
Instagram,432
Facebook,433
Instagram,434
Telegram,435
Instagram,436
Telegram,437
TikTok,438
Facebook,439
Facebook,440
Twitter,441
Telegram,442
Twitter,443
Instagram,444
Telegram,445
Facebook,446
Facebook,447
Telegram,448
Telegram,449
Instagram,450
Twitter,451
Instagram,452
Telegram,453
Facebook,454
TikTok,455
TikTok,456
Telegram,457
Instagram,458
Twitter,459
Facebook,460
Facebook,461
Telegram,462
TikTok,463
Facebook,464
Telegram,465
Telegram,466
Instagram,467
Twitter,468
Facebook,469
Telegram,470
Twitter,471
Facebook,472
Twitter,473
Twitter,474
Instagram,475
Twitter,476
Telegram,477
TikTok,478
Telegram,479
Instagram,480
TikTok,481
Instagram,482
Twitter,483
TikTok,484
Twitter,485
Facebook,486
TikTok,487
Instagram,488
TikTok,489
Instagram,490
Twitter,491
Facebook,492
Telegram,493
Twitter,494
TikTok,495
Twitter,496
Twitter,497
Twitter,498
Facebook,499
Twitter,500
TikTok,501
Telegram,502
Facebook,503
Instagram,504
Facebook,505
Twitter,506
TikTok,507
Facebook,508
Facebook,509
TikTok,510
Instagram,511
TikTok,512
Instagram,513
Twitter,514
TikTok,515
Facebook,516
Telegram,517
Telegram,518
TikTok,519
Twitter,520
Instagram,521
Telegram,522
Facebook,523
TikTok,524
Telegram,525
Twitter,526
TikTok,527
Facebook,528
Twitter,529
Telegram,530
Twitter,531
Instagram,532
Instagram,533
Telegram,534
Facebook,535
Facebook,536
TikTok,537
Telegram,538
Twitter,539
TikTok,540
Instagram,541
Telegram,542
TikTok,543
TikTok,544
Facebook,545
Telegram,546
TikTok,547
Facebook,548
Telegram,549
Twitter,550
Telegram,551
Facebook,552
Instagram,553
Facebook,554
Twitter,555
Telegram,556
Twitter,557
TikTok,558
Telegram,559
TikTok,560
Instagram,561
Facebook,562
Twitter,563
Twitter,564
TikTok,565
Telegram,566
TikTok,567
TikTok,568
Facebook,569
TikTok,570
TikTok,571
Twitter,572
Facebook,573
Facebook,574
Facebook,575
Telegram,576
Facebook,577
Twitter,578
Facebook,579
Twitter,580
TikTok,581
Twitter,582
TikTok,583
Instagram,584
Twitter,585
Telegram,586
Instagram,587
Instagram,588
Instagram,589
Telegram,590
TikTok,591
Instagram,592
Facebook,593
Telegram,594
Twitter,595
Facebook,596
Instagram,597
Twitter,598
Facebook,599
Twitter,600
Telegram,601
Twitter,602
Facebook,603
Facebook,604
Telegram,605
Telegram,606
Twitter,607
TikTok,608
Instagram,609
Facebook,610
TikTok,611
Instagram,612
Twitter,613
Telegram,614
TikTok,615
TikTok,616
Telegram,617
Instagram,618
Facebook,619
Twitter,620
TikTok,621
Instagram,622
Twitter,623
Telegram,624
Instagram,625
Twitter,626
Instagram,627
Twitter,628
Telegram,629
TikTok,630
Twitter,631
Instagram,632
Twitter,633
Twitter,634
Twitter,635
Twitter,636
Telegram,637
TikTok,638
TikTok,639
TikTok,640
Instagram,641
Facebook,642
Twitter,643
Facebook,644
Telegram,645
Twitter,646
Facebook,647
Telegram,648
TikTok,649
Facebook,650
TikTok,651
TikTok,652
Instagram,653
Twitter,654
Instagram,655
Instagram,656
Instagram,657
TikTok,658
Twitter,659
Facebook,660
Twitter,661
Telegram,662
Twitter,663
TikTok,664
TikTok,665
Telegram,666
Telegram,667
Telegram,668
Twitter,669
Telegram,670
Telegram,671
Instagram,672
Telegram,673
Telegram,674
Twitter,675
Telegram,676
Facebook,677
TikTok,678
TikTok,679
TikTok,680
Twitter,681
Twitter,682
Telegram,683
Facebook,684
Twitter,685
Instagram,686
Telegram,687
Telegram,688
Facebook,689
Twitter,690
Twitter,691
Telegram,692
Twitter,693
Facebook,694
Facebook,695
Instagram,696
Facebook,697
Facebook,698
Instagram,699
Instagram,700
Twitter,701
TikTok,702
Instagram,703
Twitter,704
TikTok,705
Twitter,706
Facebook,707
Instagram,708
Twitter,709
Instagram,710
Facebook,711
TikTok,712
Instagram,713
TikTok,714
Instagram,715
Instagram,716
Twitter,717
Instagram,718
Facebook,719
Telegram,720
Instagram,721
TikTok,722
Facebook,723
Telegram,724
TikTok,725
Instagram,726
Instagram,727
TikTok,728
TikTok,729
Instagram,730
Instagram,731
Twitter,732
Twitter,733
Telegram,734
Twitter,735
Telegram,736
TikTok,737
TikTok,738
Twitter,739
Facebook,740
Telegram,741
Telegram,742
Telegram,743
Twitter,744
TikTok,745
Telegram,746
Instagram,747
TikTok,748
Instagram,749
Telegram,750
Twitter,751
Twitter,752
TikTok,753
Instagram,754
Instagram,755
Telegram,756
TikTok,757
TikTok,758
Twitter,759
Twitter,760
Twitter,761
Twitter,762
Facebook,763
Facebook,764
TikTok,765
Twitter,766
TikTok,767
TikTok,768
Instagram,769
TikTok,770
Facebook,771
Facebook,772
TikTok,773
Instagram,774
Facebook,775
Twitter,776
Twitter,777
Instagram,778
Telegram,779
Twitter,780
Twitter,781
Telegram,782
Instagram,783
Twitter,784
Telegram,785
Facebook,786
Telegram,787
Instagram,788
Telegram,789
Instagram,790
TikTok,791
Instagram,792
TikTok,793
Instagram,794
Telegram,795
TikTok,796
Telegram,797
TikTok,798
Telegram,799
TikTok,800
Instagram,801
Telegram,802
Facebook,803
Facebook,804
TikTok,805
TikTok,806
Instagram,807
Telegram,808
Instagram,809
Facebook,810
Twitter,811
Instagram,812
Twitter,813
Telegram,814
Instagram,815
Instagram,816
TikTok,817
Twitter,818
TikTok,819
Instagram,820
Facebook,821
Telegram,822
TikTok,823
Facebook,824
Twitter,825
TikTok,826
Instagram,827
Instagram,828
Telegram,829
Twitter,830
Facebook,831
Instagram,832
Telegram,833
Telegram,834
Facebook,835
TikTok,836
Telegram,837
Facebook,838
Instagram,839
Twitter,840
Instagram,841
Instagram,842
Twitter,843
TikTok,844
TikTok,845
Twitter,846
Instagram,847
Twitter,848
Instagram,849
Telegram,850
Facebook,851
Telegram,852
Twitter,853
Twitter,854
Twitter,855
TikTok,856
Facebook,857
Twitter,858
Twitter,859
TikTok,860
Facebook,861
Facebook,862
Facebook,863
Twitter,864
Instagram,865
Telegram,866
TikTok,867
Telegram,868
TikTok,869
Facebook,870
Telegram,871
Telegram,872
Instagram,873
Twitter,874
Instagram,875
Telegram,876
Twitter,877
Facebook,878
Twitter,879
Facebook,880
Twitter,881
Instagram,882
Twitter,883
Facebook,884
Twitter,885
Telegram,886
Twitter,887
Facebook,888
Instagram,889
Telegram,890
Twitter,891
Instagram,892
Twitter,893
Instagram,894
Twitter,895
Facebook,896
Twitter,897
Twitter,898
Telegram,899
TikTok,900
TikTok,901
Instagram,902
Twitter,903
Facebook,904
TikTok,905
Twitter,906
Instagram,907
Facebook,908
Instagram,909
Facebook,910
Telegram,911
Instagram,912
Instagram,913
TikTok,914
Twitter,915
Twitter,916
Telegram,917
Facebook,918
Telegram,919
Twitter,920
TikTok,921
Instagram,922
TikTok,923
TikTok,924
Twitter,925
Facebook,926
Facebook,927
Telegram,928
TikTok,929
Instagram,930
Telegram,931
TikTok,932
Instagram,933
Twitter,934
Facebook,935
Instagram,936
Twitter,937
Twitter,938
Telegram,939
TikTok,940
Twitter,941
Twitter,942
Instagram,943
Twitter,944
Facebook,945
TikTok,946
Instagram,947
Telegram,948
TikTok,949
Instagram,950
Twitter,951
Twitter,952
Instagram,953
Twitter,954
Twitter,955
TikTok,956
Telegram,957
Facebook,958
Telegram,959
Instagram,960
Telegram,961
TikTok,962
Facebook,963
Facebook,964
TikTok,965
Telegram,966
Facebook,967
Facebook,968
Twitter,969
TikTok,970
Facebook,971
Twitter,972
TikTok,973
Instagram,974
Instagram,975
Twitter,976
Facebook,977
Facebook,978
TikTok,979
Facebook,980
TikTok,981
Instagram,982
Telegram,983
Instagram,984
Facebook,985
Telegram,986
Facebook,987
Instagram,988
Instagram,989
Telegram,990
TikTok,991
Telegram,992
TikTok,993
Facebook,994
Instagram,995
Instagram,996
Instagram,997
Twitter,998
Twitter,999
TikTok,1000
Telegram,1001
Facebook,1002
TikTok,1003
Telegram,1004
Facebook,1005
TikTok,1006
Twitter,1007
TikTok,1008
Facebook,1009
Twitter,1010
Facebook,1011
Facebook,1012
TikTok,1013
Instagram,1014
Instagram,1015
Facebook,1016
Facebook,1017
Telegram,1018
Facebook,1019
Twitter,1020
Facebook,1021
Telegram,1022
Telegram,1023
Facebook,1024
Facebook,1025
Telegram,1026
Telegram,1027
TikTok,1028
Twitter,1029
Facebook,1030
Telegram,1031
Facebook,1032
Telegram,1033
TikTok,1034
Telegram,1035
Facebook,1036
Telegram,1037
Facebook,1038
Twitter,1039
Telegram,1040
TikTok,1041
Facebook,1042
TikTok,1043
Instagram,1044
Telegram,1045
Facebook,1046
Twitter,1047
Telegram,1048
Instagram,1049
Twitter,1050
Instagram,1051
TikTok,1052
Facebook,1053
Facebook,1054
Telegram,1055
Twitter,1056
Facebook,1057
Instagram,1058
Telegram,1059
Instagram,1060
Instagram,1061
Twitter,1062
Instagram,1063
Twitter,1064
Instagram,1065
Twitter,1066
Telegram,1067
TikTok,1068
Twitter,1069
Instagram,1070
TikTok,1071
Facebook,1072
Telegram,1073
Telegram,1074
TikTok,1075
Facebook,1076
Facebook,1077
Twitter,1078
Instagram,1079
Twitter,1080
TikTok,1081
TikTok,1082
Telegram,1083
TikTok,1084
Instagram,1085
Twitter,1086
Facebook,1087
TikTok,1088
TikTok,1089
Instagram,1090
TikTok,1091
TikTok,1092
Instagram,1093
TikTok,1094
Facebook,1095
Twitter,1096
TikTok,1097
Instagram,1098
Telegram,1099
Facebook,1100
Instagram,1101
Facebook,1102
Twitter,1103
TikTok,1104
Instagram,1105
Facebook,1106
Telegram,1107
Instagram,1108
Twitter,1109
Telegram,1110
Instagram,1111
Instagram,1112
Twitter,1113
Telegram,1114
Telegram,1115
Twitter,1116
Telegram,1117
Telegram,1118
Instagram,1119
Twitter,1120
Instagram,1121
TikTok,1122
Twitter,1123
TikTok,1124
Facebook,1125
Twitter,1126
Telegram,1127
Instagram,1128
Twitter,1129
Instagram,1130
Telegram,1131
Twitter,1132
Telegram,1133
Twitter,1134
Instagram,1135
Telegram,1136
Twitter,1137
Facebook,1138
TikTok,1139
Telegram,1140
Instagram,1141
TikTok,1142
TikTok,1143
Telegram,1144
Facebook,1145
Twitter,1146
TikTok,1147
Facebook,1148
Facebook,1149
Facebook,1150
Telegram,1151
Instagram,1152
Telegram,1153
TikTok,1154
TikTok,1155
Twitter,1156
TikTok,1157
TikTok,1158
Twitter,1159
Instagram,1160
Twitter,1161
Telegram,1162
Twitter,1163
Twitter,1164
TikTok,1165
Instagram,1166
TikTok,1167
Instagram,1168
TikTok,1169
Instagram,1170
Twitter,1171
TikTok,1172
Facebook,1173
Instagram,1174
TikTok,1175
Telegram,1176
Telegram,1177
Instagram,1178
TikTok,1179
TikTok,1180
Facebook,1181
TikTok,1182
Instagram,1183
Facebook,1184
Twitter,1185
Facebook,1186
Telegram,1187
Twitter,1188
Twitter,1189
Telegram,1190
Twitter,1191
Twitter,1192
Telegram,1193
Instagram,1194
TikTok,1195
Instagram,1196
Twitter,1197
TikTok,1198
Instagram,1199
Instagram,1200
TikTok,1201
Instagram,1202
Telegram,1203
Facebook,1204
Twitter,1205
Facebook,1206
Facebook,1207
Instagram,1208
Telegram,1209
Telegram,1210
Instagram,1211
Instagram,1212
Telegram,1213
Twitter,1214
Facebook,1215
Telegram,1216
Facebook,1217
Twitter,1218
Instagram,1219
TikTok,1220
Twitter,1221
Twitter,1222
Twitter,1223
Facebook,1224
Twitter,1225
Instagram,1226
Telegram,1227
Instagram,1228
Instagram,1229
Instagram,1230
Twitter,1231
Twitter,1232
Twitter,1233
Telegram,1234
Twitter,1235
TikTok,1236
Instagram,1237
Twitter,1238
Instagram,1239
TikTok,1240
Instagram,1241
Twitter,1242
Facebook,1243
Telegram,1244
Twitter,1245
Telegram,1246
Instagram,1247
TikTok,1248
Facebook,1249
Facebook,1250
TikTok,1251
TikTok,1252
Facebook,1253
Facebook,1254
Twitter,1255
TikTok,1256
Telegram,1257
TikTok,1258
Telegram,1259
Facebook,1260
Facebook,1261
Telegram,1262
Telegram,1263
Facebook,1264
Instagram,1265
Instagram,1266
Facebook,1267
Facebook,1268
Instagram,1269
Telegram,1270
Twitter,1271
Facebook,1272
Twitter,1273
Facebook,1274
TikTok,1275
Facebook,1276
Telegram,1277
TikTok,1278
TikTok,1279
Instagram,1280
Instagram,1281
Telegram,1282
Facebook,1283
Telegram,1284
Facebook,1285
Facebook,1286
Telegram,1287
Twitter,1288
Telegram,1289
Instagram,1290
Instagram,1291
TikTok,1292
TikTok,1293
Telegram,1294
Telegram,1295
Twitter,1296
Twitter,1297
Telegram,1298
Telegram,1299
TikTok,1300
Facebook,1301
TikTok,1302
Instagram,1303
Twitter,1304
Twitter,1305
Instagram,1306
Twitter,1307
TikTok,1308
Instagram,1309
Instagram,1310
TikTok,1311
Instagram,1312
Facebook,1313
TikTok,1314
Telegram,1315
Instagram,1316
Telegram,1317
TikTok,1318
Telegram,1319
Instagram,1320
Telegram,1321
TikTok,1322
Instagram,1323
TikTok,1324
TikTok,1325
TikTok,1326
Twitter,1327
TikTok,1328
Instagram,1329
Telegram,1330
Twitter,1331
TikTok,1332
Facebook,1333
Twitter,1334
TikTok,1335
Facebook,1336
Facebook,1337
Facebook,1338
Twitter,1339
Twitter,1340
Telegram,1341
TikTok,1342
Twitter,1343
Telegram,1344
Twitter,1345
Instagram,1346
Facebook,1347
Facebook,1348
Instagram,1349
Facebook,1350
TikTok,1351
Telegram,1352
TikTok,1353
Telegram,1354
Twitter,1355
Facebook,1356
Facebook,1357
Telegram,1358
Instagram,1359
Telegram,1360
Twitter,1361
Instagram,1362
Instagram,1363
Twitter,1364
TikTok,1365
TikTok,1366
Twitter,1367
TikTok,1368
Twitter,1369
Facebook,1370
Instagram,1371
TikTok,1372
Telegram,1373
Facebook,1374
Telegram,1375
Twitter,1376
Twitter,1377
Telegram,1378
TikTok,1379
Twitter,1380
Instagram,1381
Telegram,1382
Facebook,1383
Instagram,1384
Telegram,1385
TikTok,1386
Twitter,1387
TikTok,1388
Instagram,1389
Telegram,1390
Telegram,1391
Facebook,1392
Telegram,1393
Twitter,1394
Twitter,1395
Instagram,1396
Instagram,1397
Twitter,1398
TikTok,1399
Instagram,1400
Facebook,1401
Twitter,1402
Telegram,1403
Telegram,1404
Instagram,1405
Instagram,1406
Instagram,1407
Facebook,1408
Instagram,1409
Twitter,1410
Facebook,1411
TikTok,1412
Telegram,1413
Twitter,1414
Telegram,1415
Instagram,1416
Twitter,1417
Telegram,1418
Twitter,1419
TikTok,1420
Instagram,1421
Instagram,1422
Facebook,1423
TikTok,1424
Twitter,1425
Twitter,1426
TikTok,1427
Facebook,1428
Telegram,1429
Telegram,1430
Facebook,1431
TikTok,1432
Twitter,1433
Facebook,1434
Facebook,1435
Instagram,1436
Instagram,1437
TikTok,1438
Telegram,1439
Telegram,1440
Telegram,1441
TikTok,1442
Instagram,1443
Telegram,1444
Twitter,1445
Instagram,1446
Telegram,1447
Telegram,1448
Facebook,1449
Twitter,1450
Instagram,1451
Facebook,1452
Facebook,1453
TikTok,1454
Facebook,1455
TikTok,1456
Telegram,1457
TikTok,1458
Telegram,1459
Twitter,1460
TikTok,1461
Instagram,1462
TikTok,1463
Instagram,1464
Telegram,1465
Telegram,1466
Facebook,1467
Facebook,1468
TikTok,1469
TikTok,1470
Telegram,1471
TikTok,1472
Facebook,1473
Twitter,1474
TikTok,1475
Instagram,1476
Facebook,1477
Facebook,1478
Twitter,1479
Facebook,1480
Facebook,1481
Facebook,1482
Twitter,1483
Twitter,1484
Facebook,1485
Facebook,1486
Instagram,1487
Twitter,1488
Telegram,1489
Twitter,1490
Instagram,1491
Twitter,1492
Facebook,1493
Instagram,1494
Instagram,1495
Twitter,1496
Instagram,1497
TikTok,1498
Instagram,1499
Telegram,1500
TikTok,1501
TikTok,1502
TikTok,1503
TikTok,1504
Telegram,1505
Facebook,1506
Twitter,1507
TikTok,1508
Twitter,1509
Facebook,1510
TikTok,1511
Twitter,1512
Instagram,1513
Facebook,1514
Twitter,1515
Facebook,1516
Facebook,1517
Twitter,1518
Facebook,1519
Instagram,1520
TikTok,1521
Twitter,1522
Twitter,1523
Twitter,1524
Instagram,1525
Twitter,1526
Twitter,1527
Instagram,1528
Telegram,1529
Telegram,1530
Twitter,1531
Instagram,1532
Instagram,1533
Instagram,1534
Twitter,1535
Facebook,1536
Twitter,1537
Twitter,1538
Telegram,1539
Twitter,1540
Twitter,1541
Instagram,1542
Twitter,1543
TikTok,1544
Telegram,1545
Instagram,1546
Telegram,1547
Twitter,1548
Instagram,1549
TikTok,1550
TikTok,1551
Instagram,1552
Twitter,1553
Twitter,1554
Twitter,1555
Facebook,1556
TikTok,1557
Instagram,1558
TikTok,1559
TikTok,1560
Instagram,1561
TikTok,1562
Twitter,1563
Telegram,1564
Instagram,1565
Telegram,1566
Facebook,1567
Twitter,1568
Telegram,1569
Instagram,1570
Twitter,1571
Twitter,1572
Facebook,1573
Twitter,1574
TikTok,1575
Telegram,1576
Instagram,1577
Twitter,1578
Telegram,1579
Facebook,1580
Telegram,1581
Twitter,1582
Telegram,1583
Facebook,1584
Twitter,1585
TikTok,1586
Facebook,1587
TikTok,1588
Instagram,1589
TikTok,1590
Instagram,1591
TikTok,1592
Telegram,1593
TikTok,1594
Twitter,1595
TikTok,1596
Instagram,1597
Facebook,1598
Instagram,1599
Instagram,1600
Telegram,1601
Facebook,1602
Twitter,1603
Telegram,1604
Twitter,1605
TikTok,1606
Twitter,1607
Facebook,1608
Facebook,1609
TikTok,1610
TikTok,1611
TikTok,1612
Twitter,1613
Telegram,1614
TikTok,1615
Telegram,1616
Telegram,1617
Twitter,1618
Instagram,1619
TikTok,1620
Telegram,1621
Twitter,1622
Facebook,1623
Telegram,1624
Facebook,1625
Telegram,1626
Facebook,1627
TikTok,1628
Facebook,1629
Twitter,1630
Instagram,1631
Telegram,1632
Telegram,1633
Instagram,1634
Twitter,1635
TikTok,1636
Facebook,1637
Twitter,1638
TikTok,1639
Telegram,1640
Facebook,1641
TikTok,1642
Facebook,1643
Facebook,1644
Facebook,1645
Telegram,1646
Telegram,1647
Facebook,1648
TikTok,1649
Instagram,1650
Twitter,1651
Instagram,1652
Twitter,1653
TikTok,1654
TikTok,1655
TikTok,1656
Telegram,1657
Facebook,1658
TikTok,1659
Telegram,1660
Telegram,1661
Telegram,1662
TikTok,1663
Twitter,1664
Instagram,1665
TikTok,1666
TikTok,1667
Telegram,1668
Telegram,1669
Telegram,1670
Telegram,1671
Facebook,1672
Twitter,1673
Facebook,1674
Telegram,1675
Telegram,1676
Instagram,1677
TikTok,1678
Instagram,1679
Facebook,1680
Instagram,1681
Instagram,1682
Facebook,1683
Instagram,1684
Facebook,1685
Instagram,1686
TikTok,1687
Instagram,1688
Twitter,1689
TikTok,1690
Twitter,1691
Twitter,1692
Instagram,1693
Twitter,1694
TikTok,1695
TikTok,1696
Telegram,1697
Twitter,1698
Facebook,1699
Facebook,1700
TikTok,1701
Twitter,1702
Instagram,1703
Telegram,1704
Facebook,1705
Instagram,1706
Twitter,1707
Facebook,1708
Twitter,1709
Twitter,1710
Twitter,1711
Instagram,1712
Facebook,1713
TikTok,1714
Telegram,1715
Instagram,1716
Facebook,1717
Twitter,1718
TikTok,1719
TikTok,1720
Facebook,1721
Twitter,1722
Twitter,1723
Twitter,1724
TikTok,1725
Twitter,1726
Telegram,1727
Instagram,1728
Facebook,1729
Facebook,1730
Facebook,1731
TikTok,1732
Instagram,1733
Facebook,1734
Instagram,1735
Instagram,1736
Telegram,1737
Instagram,1738
Instagram,1739
Twitter,1740
TikTok,1741
Twitter,1742
Twitter,1743
Twitter,1744
Instagram,1745
TikTok,1746
TikTok,1747
Instagram,1748
Facebook,1749
Telegram,1750
Twitter,1751
Telegram,1752
Instagram,1753
Telegram,1754
Instagram,1755
Facebook,1756
Instagram,1757
Twitter,1758
Facebook,1759
TikTok,1760
Facebook,1761
Telegram,1762
Twitter,1763
Instagram,1764
Telegram,1765
Telegram,1766
Facebook,1767
Twitter,1768
Instagram,1769
TikTok,1770
Instagram,1771
Telegram,1772
Twitter,1773
TikTok,1774
Telegram,1775
TikTok,1776
TikTok,1777
TikTok,1778
Facebook,1779
Instagram,1780
Facebook,1781
TikTok,1782
Twitter,1783
Facebook,1784
Twitter,1785
Instagram,1786
Facebook,1787
Twitter,1788
Twitter,1789
Instagram,1790
Twitter,1791
Facebook,1792
Facebook,1793
Twitter,1794
Instagram,1795
Twitter,1796
TikTok,1797
Instagram,1798
Twitter,1799
Instagram,1800
Twitter,1801
Facebook,1802
TikTok,1803
TikTok,1804
TikTok,1805
Instagram,1806
Twitter,1807
Telegram,1808
TikTok,1809
Telegram,1810
Instagram,1811
Facebook,1812
Twitter,1813
Twitter,1814
Twitter,1815
Telegram,1816
Telegram,1817
Facebook,1818
TikTok,1819
Telegram,1820
TikTok,1821
Facebook,1822
Twitter,1823
TikTok,1824
Facebook,1825
Twitter,1826
Facebook,1827
Facebook,1828
Instagram,1829
Twitter,1830
Twitter,1831
TikTok,1832
Facebook,1833
TikTok,1834
Facebook,1835
Twitter,1836
Telegram,1837
TikTok,1838
Twitter,1839
Twitter,1840
Telegram,1841
Instagram,1842
Instagram,1843
Facebook,1844
Instagram,1845
Instagram,1846
Instagram,1847
Telegram,1848
Telegram,1849
TikTok,1850
Telegram,1851
Facebook,1852
Twitter,1853
TikTok,1854
Telegram,1855
Twitter,1856
Instagram,1857
Facebook,1858
Telegram,1859
Twitter,1860
TikTok,1861
Telegram,1862
Instagram,1863
Twitter,1864
Twitter,1865
Twitter,1866
Instagram,1867
Twitter,1868
Telegram,1869
Facebook,1870
TikTok,1871
