gender,age,job_type,user_id
F,54,Unemployed,244
F,50,Health,245
F,25,Finance,246
M,61,Education,247
F,22,Finance,248
F,56,Unemployed,249
F,21,Student,250
F,23,Unemployed,251
F,49,Health,252
M,47,IT,253
F,57,Health,254
M,33,Finance,255
F,47,IT,256
F,36,Student,257
M,34,Finance,258
F,36,IT,259
M,43,Finance,260
M,40,Student,261
F,26,Unemployed,262
F,18,Education,263
M,18,Finance,264
F,51,Health,265
F,49,Education,266
Other,42,Finance,267
F,18,Unemployed,268
F,33,IT,269
M,56,Education,270
F,22,Finance,271
M,39,Health,272
M,46,Finance,273
F,20,Health,274
M,43,Health,275
M,33,Student,276
F,31,Health,277
F,45,IT,278
M,22,Unemployed,279
M,22,Education,280
F,33,Unemployed,281
F,43,Student,282
M,65,Unemployed,283
M,38,Student,284
F,50,Education,285
F,47,Unemployed,286
F,54,Unemployed,287
M,27,Unemployed,288
F,53,Finance,289
M,51,Education,290
Other,48,Finance,291
M,27,IT,292
F,18,IT,293
Other,22,Finance,294
M,21,Finance,295
F,19,Finance,296
F,49,IT,297
M,44,Student,298
F,37,Student,299
F,41,Finance,300
F,29,Student,301
M,18,Finance,302
F,57,IT,303
Other,27,Finance,304
F,60,Health,305
M,61,Health,306
F,46,Health,307
F,29,Unemployed,308
M,63,Education,309
Other,19,IT,310
F,40,Unemployed,311
F,34,Health,312
M,43,Unemployed,313
M,27,Finance,314
F,43,Education,315
F,62,Health,316
M,28,IT,317
Other,46,Unemployed,318
F,42,Student,319
F,38,Education,320
M,27,IT,321
F,54,Student,322
M,52,Finance,323
M,53,Finance,324
F,35,IT,325
F,49,Student,326
M,54,Finance,327
F,30,Finance,328
F,40,Finance,329
F,52,Education,330
M,58,Health,331
M,47,Education,332
F,37,Finance,333
M,65,IT,334
M,42,Unemployed,335
F,39,Student,336
F,30,IT,337
F,53,Student,338
F,29,Unemployed,339
F,58,Student,340
F,36,Unemployed,341
F,29,Finance,342
M,26,Education,343
M,45,Unemployed,344
M,64,Health,345
F,22,Health,346
F,29,Unemployed,347
M,53,IT,348
M,40,Education,349
M,33,IT,350
Other,62,Unemployed,351
Other,59,Student,352
M,31,IT,353
M,52,IT,354
F,40,Student,355
F,26,IT,356
M,61,Unemployed,357
Other,24,IT,358
F,59,IT,359
F,26,Finance,360
F,44,Education,361
F,46,Student,362
F,54,Student,363
F,25,IT,364
F,18,IT,365
Other,24,IT,366
M,42,Finance,367
F,62,Student,368
M,21,Student,369
M,61,IT,370
F,56,IT,371
M,43,Health,372
F,45,Student,373
M,45,Health,374
F,25,Health,375
M,58,IT,376
M,56,Education,377
F,20,Education,378
M,45,Health,379
M,62,Student,380
M,62,IT,381
M,38,Student,382
M,28,IT,383
M,54,Student,384
M,53,Education,385
M,52,Health,386
M,37,Finance,387
M,35,Education,388
M,58,Unemployed,389
F,20,Student,390
M,33,Student,391
Other,29,Education,392
M,33,Health,393
Other,55,IT,394
F,29,Student,395
F,41,Health,396
M,45,Student,397
F,45,Finance,398
F,25,Education,399
M,45,Education,400
M,44,Education,401
F,34,Unemployed,402
M,26,Unemployed,403
F,50,Student,404
F,46,Student,405
F,63,Finance,406
M,52,IT,407
M,23,Unemployed,408
F,22,Student,409
M,64,Finance,410
Other,42,Unemployed,411
F,19,Unemployed,412
M,62,Education,413
M,50,Education,414
F,18,Student,415
M,49,IT,416
M,64,Unemployed,417
M,28,Education,418
F,42,Finance,419
F,39,IT,420
M,51,Education,421
M,58,Student,422
F,38,IT,423
F,23,Health,424
F,45,Student,425
F,22,Education,426
F,22,Finance,427
F,55,Unemployed,428
M,54,Education,429
F,54,Student,430
M,27,Finance,431
M,27,IT,432
F,36,Unemployed,433
F,38,Finance,434
M,26,Student,435
F,18,Health,436
Other,21,Health,437
M,18,Finance,438
F,51,IT,439
F,56,IT,440
F,43,Unemployed,441
M,51,Finance,442
F,20,Unemployed,443
M,22,IT,444
F,47,IT,445
F,47,IT,446
M,34,Student,447
F,65,IT,448
F,64,Education,449
F,40,IT,450
M,32,Finance,451
F,31,IT,452
M,28,Health,453
M,56,Student,454
M,51,Unemployed,455
M,35,Student,456
F,47,Education,457
M,32,IT,458
M,51,Education,459
M,55,IT,460
M,50,Health,461
M,32,Student,462
M,46,Finance,463
F,21,Education,464
F,27,Unemployed,465
M,27,IT,466
Other,34,Student,467
Other,22,Health,468
M,60,IT,469
M,60,Finance,470
M,28,Education,471
F,40,Student,472
F,48,Health,473
M,28,Student,474
Other,33,Health,475
F,25,Health,476
F,21,Education,477
M,21,Student,478
F,42,Finance,479
F,20,IT,480
F,49,IT,481
F,38,Health,482
F,45,Finance,483
M,59,Education,484
F,29,Health,485
F,43,Finance,486
F,63,Health,487
F,51,Student,488
F,31,IT,489
M,43,Health,490
F,62,Unemployed,491
M,44,Finance,492
M,26,Unemployed,493
F,43,Health,494
M,64,Health,495
F,39,Unemployed,496
M,47,Finance,497
F,60,Education,498
F,65,Unemployed,499
F,18,IT,500
M,25,Unemployed,501
M,32,Finance,502
F,64,Education,503
M,31,Student,504
F,31,Unemployed,505
F,62,Unemployed,506
M,31,IT,507
F,64,Unemployed,508
F,63,Finance,509
F,60,Education,510
M,64,IT,511
F,35,Education,512
Other,55,Unemployed,513
F,52,Student,514
M,32,Health,515
F,42,Health,516
F,45,Student,517
F,27,Health,518
F,56,Health,519
F,34,Education,520
M,30,Education,521
M,37,Health,522
M,21,Finance,523
F,27,Student,524
F,20,Education,525
F,58,Finance,526
F,62,Health,527
M,53,IT,528
F,64,Unemployed,529
F,25,Health,530
F,57,Education,531
M,59,Health,532
Other,58,Health,533
M,23,Education,534
M,43,Education,535
Other,51,IT,536
F,54,Finance,537
F,38,Unemployed,538
F,23,Unemployed,539
M,65,Education,540
F,21,Unemployed,541
M,47,Health,542
M,41,Unemployed,543
F,26,Finance,544
F,48,Finance,545
F,57,Health,546
Other,54,Student,547
M,23,Unemployed,548
M,19,Unemployed,549
M,37,Health,550
F,45,Student,551
M,28,IT,552
F,32,Unemployed,553
F,55,Student,554
F,25,Education,555
F,43,Health,556
F,62,IT,557
F,61,Unemployed,558
M,22,Finance,559
F,23,Education,560
M,43,Student,561
M,21,Unemployed,562
M,37,IT,563
M,29,Health,564
F,64,Education,565
F,54,Student,566
F,28,Student,567
M,53,Finance,568
M,30,Unemployed,569
M,60,Health,570
M,50,Unemployed,571
F,23,IT,572
M,22,Education,573
F,27,IT,574
F,30,Finance,575
F,19,Finance,576
F,26,Unemployed,577
M,34,Education,578
M,28,IT,579
F,32,Education,580
M,41,Student,581
F,55,Health,582
M,47,IT,583
M,48,Health,584
M,22,Education,585
M,31,IT,586
F,28,Health,587
F,51,Unemployed,588
F,29,Finance,589
Other,52,Health,590
F,57,IT,591
F,25,IT,592
M,54,Student,593
M,47,Health,594
F,38,Health,595
Other,54,Unemployed,596
F,22,IT,597
M,43,Health,598
M,21,Unemployed,599
M,62,Finance,600
F,42,Finance,601
M,57,Student,602
M,25,Education,603
F,56,IT,604
M,31,Finance,605
M,49,Finance,606
M,55,Education,607
M,40,Student,608
F,50,Student,609
M,42,Education,610
F,50,IT,611
M,57,Student,612
F,23,Education,613
F,24,Unemployed,614
M,25,Unemployed,615
M,59,Unemployed,616
M,32,IT,617
F,50,Education,618
M,56,Education,619
F,44,IT,620
M,54,Education,621
M,44,Education,622
F,50,Education,623
F,21,Health,624
F,19,Education,625
F,27,Unemployed,626
F,27,Unemployed,627
M,50,Education,628
M,48,Finance,629
M,53,Student,630
M,41,Health,631
F,46,Student,632
F,46,Unemployed,633
F,21,Unemployed,634
M,29,Health,635
M,44,Student,636
M,48,Unemployed,637
F,53,Finance,638
F,53,IT,639
M,43,Unemployed,640
F,44,IT,641
M,22,IT,642
M,37,Health,643
F,28,Finance,644
M,27,IT,645
M,57,Unemployed,646
F,23,Unemployed,647
F,25,Health,648
M,40,Health,649
F,60,Finance,650
M,57,Finance,651
F,42,Health,652
F,50,Finance,653
Other,64,Education,654
M,57,Health,655
M,60,Health,656
M,29,Student,657
M,53,Unemployed,658
F,65,Finance,659
M,21,Education,660
M,54,IT,661
F,59,IT,662
F,45,Health,663
F,48,IT,664
F,57,Finance,665
F,39,Education,666
M,40,Unemployed,667
F,63,IT,668
M,54,Health,669
M,38,Unemployed,670
M,43,Education,671
M,63,Student,672
F,53,Finance,673
M,18,Student,674
M,32,IT,675
M,38,Student,676
M,64,IT,677
F,26,Finance,678
M,27,Student,679
F,43,Student,680
F,58,Unemployed,681
M,42,Unemployed,682
M,43,Student,683
F,28,Finance,684
M,24,Education,685
M,35,Education,686
F,44,Health,687
F,51,Student,688
M,44,Finance,689
M,34,Student,690
F,41,IT,691
M,23,Health,692
Other,50,Student,693
F,46,Education,694
F,60,Finance,695
M,39,Unemployed,696
F,43,Unemployed,697
M,24,Finance,698
M,37,Finance,699
M,58,Education,700
M,37,IT,701
M,57,Unemployed,702
F,24,Health,703
F,18,Health,704
F,49,Unemployed,705
F,47,Unemployed,706
M,36,Student,707
M,49,Student,708
M,46,Finance,709
F,33,Unemployed,710
F,57,Health,711
M,35,Unemployed,712
M,64,Student,713
M,19,Finance,714
F,45,Student,715
M,55,Finance,716
F,25,Student,717
M,20,Student,718
F,27,Education,719
F,36,IT,720
M,63,Finance,721
F,40,Education,722
M,49,Health,723
F,24,Unemployed,724
M,18,Student,725
F,20,Student,726
M,40,Education,727
M,25,Health,728
F,54,Finance,729
F,50,IT,730
F,64,IT,731
M,52,IT,732
M,49,Student,733
F,41,IT,734
M,31,Unemployed,735
M,63,IT,736
M,21,Education,737
M,31,Student,738
F,48,Student,739
F,35,IT,740
F,24,Education,741
M,27,IT,742
M,50,Finance,743
M,40,IT,744
F,38,Education,745
F,36,Health,746
Other,53,Education,747
F,46,IT,748
F,35,Unemployed,749
F,19,Student,750
M,18,Unemployed,751
M,64,IT,752
M,37,Student,753
M,19,IT,754
M,47,Unemployed,755
M,26,Student,756
M,51,Education,757
F,61,Health,758
F,52,IT,759
F,39,Finance,760
F,61,Student,761
M,41,Student,762
M,34,Health,763
M,47,Health,764
F,63,Education,765
F,49,Student,766
F,31,Unemployed,767
Other,26,Finance,768
F,57,Finance,769
M,62,Student,770
F,56,Finance,771
M,26,IT,772
M,60,Finance,773
F,46,Education,774
M,51,Health,775
M,28,Health,776
F,35,IT,777
F,38,IT,778
F,58,Health,779
F,55,Unemployed,780
M,51,Unemployed,781
F,54,Student,782
F,42,Unemployed,783
F,29,Unemployed,784
F,40,IT,785
F,59,Student,786
F,38,Student,787
F,48,Education,788
F,57,Unemployed,789
F,29,IT,790
F,24,Unemployed,791
M,27,Unemployed,792
F,62,Finance,793
F,34,Student,794
M,63,Education,795
F,19,Finance,796
F,18,IT,797
M,43,Unemployed,798
F,46,Student,799
Other,28,Finance,800
F,57,IT,801
F,28,Unemployed,802
F,53,IT,803
M,56,Education,804
F,64,Finance,805
M,22,Unemployed,806
Other,50,Health,807
F,64,Student,808
F,37,Finance,809
M,36,Finance,810
M,34,Education,811
M,60,Health,812
M,43,Education,813
M,57,Education,814
M,18,Student,815
F,42,IT,816
F,52,Unemployed,817
F,20,Health,818
M,61,Finance,819
F,55,Education,820
F,36,Student,821
M,54,Unemployed,822
M,27,Education,823
M,64,Student,824
F,33,Student,825
F,25,Finance,826
F,38,Finance,827
M,34,Student,828
F,40,Student,829
M,33,Health,830
F,23,Health,831
M,42,IT,832
F,42,Finance,833
F,43,Student,834
M,62,Finance,835
M,43,IT,836
M,49,Education,837
M,27,Health,838
M,33,Health,839
M,38,Finance,840
F,32,Unemployed,841
F,24,Finance,842
F,65,Student,843
M,40,Student,844
F,46,Health,845
F,48,Health,846
M,56,Education,847
F,52,IT,848
F,59,Unemployed,849
M,56,Unemployed,850
F,34,Student,851
F,31,Unemployed,852
F,48,Finance,853
F,61,Student,854
M,51,Health,855
F,20,IT,856
M,60,Unemployed,857
M,43,Student,858
F,40,IT,859
M,61,Unemployed,860
F,46,Health,861
F,42,Finance,862
F,50,Finance,863
F,61,Health,864
M,19,Student,865
F,59,Education,866
M,51,Unemployed,867
F,35,Health,868
M,49,Finance,869
F,52,Health,870
F,63,Health,871
F,61,Health,872
M,61,Student,873
F,64,Finance,874
M,27,Health,875
M,47,Finance,876
M,56,IT,877
M,37,Student,878
F,22,Student,879
M,18,Finance,880
F,47,Health,881
M,62,Unemployed,882
M,31,IT,883
M,47,Student,884
M,54,Finance,885
M,42,Student,886
F,65,Health,887
F,32,Unemployed,888
Other,32,Unemployed,889
M,54,IT,890
F,60,IT,891
M,28,Health,892
F,30,Unemployed,893
F,51,Health,894
F,42,Unemployed,895
F,37,Education,896
F,63,Finance,897
Other,60,Education,898
F,58,Finance,899
F,23,Finance,900
F,40,IT,901
M,52,Education,902
M,49,Finance,903
M,52,Health,904
M,64,Health,905
M,42,Health,906
F,31,Finance,907
M,54,Unemployed,908
F,58,Finance,909
F,45,Finance,910
F,46,Finance,911
F,26,Unemployed,912
M,20,Unemployed,913
M,42,IT,914
M,51,Health,915
M,29,Unemployed,916
M,59,IT,917
M,32,Student,918
Other,57,Finance,919
M,22,Finance,920
M,51,Education,921
Other,41,Health,922
F,32,Finance,923
F,25,Education,924
F,22,Health,925
M,65,Student,926
F,43,Health,927
F,35,Finance,928
M,23,Student,929
M,45,Student,930
Other,22,IT,931
F,30,Student,932
M,57,Finance,933
F,49,Finance,934
M,44,Finance,935
M,30,Finance,936
F,62,Student,937
F,50,Finance,938
F,23,Student,939
M,41,Education,940
F,36,IT,941
M,33,Education,942
M,57,Education,943
M,50,Student,944
F,65,IT,945
F,58,IT,946
F,30,Unemployed,947
M,42,Finance,948
Other,53,Student,949
F,44,Education,950
M,55,IT,951
F,24,Unemployed,952
M,60,Education,953
M,62,Health,954
M,48,IT,955
F,59,Finance,956
F,27,Education,957
M,49,Unemployed,958
F,60,IT,959
F,48,Health,960
M,35,Education,961
F,31,IT,962
M,30,Student,963
F,29,Unemployed,964
M,30,Education,965
F,63,Unemployed,966
M,44,Finance,967
F,34,Health,968
M,57,Student,969
F,48,Health,970
F,51,Education,971
M,41,Health,972
F,36,Unemployed,973
M,27,Student,974
Other,49,Unemployed,975
M,51,IT,976
Other,45,Finance,977
M,47,Health,978
F,46,IT,979
M,37,Health,980
M,49,Student,981
M,53,Unemployed,982
F,21,Unemployed,983
M,29,Unemployed,984
M,27,Health,985
F,43,IT,986
M,35,Finance,987
M,31,Student,988
F,46,Finance,989
M,53,Health,990
M,52,Finance,991
F,29,Finance,992
M,24,Education,993
F,46,IT,994
M,28,Health,995
F,50,Student,996
Other,23,Health,997
Other,64,IT,998
M,49,Education,999
M,40,Education,1000
F,51,Unemployed,1001
M,63,IT,1002
M,51,Health,1003
Other,21,Student,1004
F,34,IT,1005
M,52,Unemployed,1006
M,30,Finance,1007
F,56,Student,1008
Other,32,IT,1009
F,46,Unemployed,1010
F,46,Finance,1011
F,28,Finance,1012
F,49,Finance,1013
F,19,Finance,1014
F,64,Education,1015
M,31,Health,1016
M,28,Unemployed,1017
M,61,Health,1018
F,45,IT,1019
F,46,Education,1020
F,64,Unemployed,1021
M,33,Education,1022
F,37,Finance,1023
M,22,Health,1024
M,18,Education,1025
M,55,Student,1026
M,52,Unemployed,1027
M,42,Finance,1028
F,29,Unemployed,1029
M,35,Student,1030
F,32,Unemployed,1031
Other,61,Education,1032
F,33,Finance,1033
M,44,Finance,1034
M,42,Finance,1035
M,46,Health,1036
F,25,Unemployed,1037
F,32,Student,1038
F,44,Unemployed,1039
M,24,Education,1040
M,20,Unemployed,1041
M,46,Unemployed,1042
Other,61,Education,1043
Other,20,Student,1044
F,42,Unemployed,1045
F,31,Unemployed,1046
M,24,Education,1047
F,61,Education,1048
M,53,IT,1049
M,55,Education,1050
M,39,IT,1051
M,19,Education,1052
M,25,Finance,1053
M,34,Education,1054
F,25,Student,1055
F,38,Unemployed,1056
M,35,Finance,1057
F,47,Health,1058
F,35,Health,1059
F,64,Student,1060
Other,55,Finance,1061
M,28,Finance,1062
M,62,IT,1063
M,42,Unemployed,1064
F,50,Student,1065
M,25,Unemployed,1066
M,39,Health,1067
F,58,Finance,1068
F,63,Student,1069
F,32,Finance,1070
F,33,Health,1071
M,45,Education,1072
F,37,Finance,1073
F,50,Student,1074
F,27,Unemployed,1075
M,57,Unemployed,1076
F,49,Finance,1077
M,50,Student,1078
Other,19,IT,1079
F,50,Education,1080
F,58,Student,1081
M,30,Unemployed,1082
M,47,IT,1083
M,50,Health,1084
M,30,Finance,1085
M,39,IT,1086
F,55,IT,1087
M,32,Unemployed,1088
F,57,Education,1089
F,20,IT,1090
M,23,Finance,1091
F,26,IT,1092
F,23,Student,1093
F,26,Student,1094
M,56,Unemployed,1095
M,58,Finance,1096
M,29,IT,1097
F,25,Finance,1098
F,64,Student,1099
M,24,IT,1100
M,33,Student,1101
F,21,Unemployed,1102
F,23,Unemployed,1103
M,39,Unemployed,1104
M,20,Health,1105
M,31,Health,1106
M,29,IT,1107
F,30,IT,1108
F,42,Student,1109
F,62,Finance,1110
F,36,Student,1111
F,25,Health,1112
M,49,Education,1113
F,61,Finance,1114
F,35,IT,1115
Other,35,Student,1116
M,36,Education,1117
M,54,Education,1118
F,58,Unemployed,1119
Other,20,Education,1120
M,45,Health,1121
F,27,Health,1122
F,52,Health,1123
F,46,Education,1124
M,32,IT,1125
F,50,Student,1126
Other,24,IT,1127
Other,29,Student,1128
M,41,Student,1129
F,37,Health,1130
M,45,Health,1131
F,61,Unemployed,1132
F,37,Health,1133
M,41,Unemployed,1134
F,49,Finance,1135
M,53,Student,1136
M,51,Education,1137
F,53,Education,1138
F,19,Student,1139
M,32,Education,1140
M,51,Finance,1141
M,23,IT,1142
M,56,Education,1143
F,20,Finance,1144
M,62,Education,1145
F,35,Health,1146
M,57,Education,1147
M,38,IT,1148
F,50,IT,1149
M,52,IT,1150
F,43,Student,1151
F,25,Finance,1152
F,65,IT,1153
Other,47,Unemployed,1154
F,59,Unemployed,1155
M,61,Unemployed,1156
F,19,Education,1157
M,54,Health,1158
Other,22,Health,1159
F,31,Education,1160
M,42,IT,1161
F,37,Finance,1162
F,56,IT,1163
Other,23,IT,1164
M,34,IT,1165
F,42,Education,1166
F,54,Unemployed,1167
M,18,Education,1168
F,29,Unemployed,1169
F,53,Health,1170
F,62,Education,1171
F,40,IT,1172
M,28,Health,1173
M,27,Health,1174
M,20,IT,1175
F,31,Health,1176
F,27,Health,1177
M,27,Unemployed,1178
F,47,Unemployed,1179
M,58,IT,1180
M,18,Student,1181
M,37,Education,1182
F,25,Finance,1183
M,18,Student,1184
M,60,IT,1185
F,54,Health,1186
M,54,Student,1187
F,61,IT,1188
F,32,Finance,1189
M,23,Student,1190
M,61,IT,1191
M,37,Student,1192
M,19,Unemployed,1193
F,26,Student,1194
F,54,Unemployed,1195
F,37,Health,1196
M,46,Unemployed,1197
M,50,Education,1198
F,31,Education,1199
F,37,Unemployed,1200
F,60,Education,1201
F,51,Finance,1202
F,48,Health,1203
F,60,Education,1204
M,55,Finance,1205
F,37,Student,1206
F,40,Education,1207
M,33,Education,1208
M,25,Unemployed,1209
F,38,Finance,1210
Other,25,Education,1211
F,46,Health,1212
Other,55,IT,1213
F,64,Education,1214
M,39,Finance,1215
F,64,Finance,1216
F,51,Health,1217
F,18,Finance,1218
Other,27,Finance,1219
M,43,IT,1220
M,25,IT,1221
M,64,Student,1222
M,29,Health,1223
M,25,Health,1224
F,42,Student,1225
F,63,Student,1226
M,50,Education,1227
Other,48,Education,1228
M,33,Finance,1229
M,31,Health,1230
F,65,Student,1231
F,22,Finance,1232
M,58,Education,1233
F,43,Finance,1234
Other,19,Finance,1235
F,42,Education,1236
F,65,Student,1237
F,30,Student,1238
M,26,IT,1239
F,48,Education,1240
F,58,Unemployed,1241
M,28,Finance,1242
F,21,Unemployed,1243
M,63,IT,1244
M,55,Finance,1245
F,36,Education,1246
M,23,Unemployed,1247
M,51,Education,1248
F,35,IT,1249
F,36,Student,1250
F,28,Finance,1251
M,18,Student,1252
M,41,Health,1253
F,42,IT,1254
M,32,Health,1255
M,18,Education,1256
F,29,Education,1257
F,24,Unemployed,1258
M,38,Unemployed,1259
M,36,Finance,1260
M,46,Finance,1261
F,50,Health,1262
M,52,Education,1263
F,61,Finance,1264
M,55,Finance,1265
M,43,Finance,1266
M,52,Health,1267
F,25,Health,1268
F,63,IT,1269
M,27,Unemployed,1270
M,19,Unemployed,1271
F,26,Student,1272
M,43,Finance,1273
F,65,Unemployed,1274
F,19,Finance,1275
F,45,Student,1276
F,46,Health,1277
M,22,Unemployed,1278
F,51,Student,1279
M,65,Unemployed,1280
F,54,Health,1281
F,32,Health,1282
F,53,Health,1283
M,32,Finance,1284
M,60,Student,1285
M,65,Health,1286
M,40,Education,1287
M,63,Finance,1288
F,62,IT,1289
F,38,Student,1290
M,40,IT,1291
F,60,Health,1292
M,33,Student,1293
F,64,Unemployed,1294
F,32,Finance,1295
F,42,Finance,1296
M,53,Unemployed,1297
F,32,Finance,1298
F,21,Health,1299
F,51,Unemployed,1300
M,31,Student,1301
M,21,Unemployed,1302
F,46,Health,1303
F,64,Student,1304
F,45,Finance,1305
M,25,Finance,1306
F,33,Health,1307
F,59,IT,1308
F,53,Unemployed,1309
F,47,Student,1310
M,35,Unemployed,1311
F,42,IT,1312
Other,48,Health,1313
F,61,Education,1314
M,27,Education,1315
F,48,Student,1316
F,24,Unemployed,1317
F,59,Education,1318
F,53,Finance,1319
M,18,Health,1320
M,30,IT,1321
F,39,Finance,1322
F,45,Finance,1323
M,26,Finance,1324
F,32,Unemployed,1325
F,59,Student,1326
Other,41,Finance,1327
F,33,IT,1328
F,44,IT,1329
M,54,IT,1330
F,21,Student,1331
M,36,Finance,1332
F,27,Unemployed,1333
M,42,Health,1334
M,35,Unemployed,1335
F,27,Health,1336
F,22,Unemployed,1337
F,64,IT,1338
M,61,Finance,1339
F,50,IT,1340
M,38,Finance,1341
M,34,Unemployed,1342
F,39,IT,1343
F,54,Student,1344
F,32,Health,1345
M,52,Student,1346
F,24,Unemployed,1347
M,49,Health,1348
M,28,Health,1349
F,26,Education,1350
M,42,Finance,1351
F,24,Health,1352
M,38,Education,1353
F,35,Student,1354
F,59,Health,1355
F,56,Finance,1356
M,58,Health,1357
M,28,Finance,1358
M,56,Unemployed,1359
M,63,Health,1360
F,36,Health,1361
F,21,Health,1362
F,55,IT,1363
F,59,Finance,1364
M,62,Finance,1365
F,53,Health,1366
M,57,Unemployed,1367
F,54,Finance,1368
F,50,Student,1369
F,53,Education,1370
F,20,IT,1371
F,26,Education,1372
M,50,Finance,1373
F,58,Health,1374
M,30,Student,1375
M,22,Finance,1376
M,49,Education,1377
F,20,IT,1378
F,20,Health,1379
M,39,Student,1380
F,23,Student,1381
F,61,Unemployed,1382
M,19,Student,1383
M,55,Student,1384
F,34,Health,1385
M,51,IT,1386
M,40,Health,1387
F,47,Health,1388
F,25,Unemployed,1389
M,39,Finance,1390
F,61,Education,1391
F,53,Unemployed,1392
M,22,Unemployed,1393
